ticket_id,created_at_unix,event_id,perf_date,perf_time,venue,status,price,quantity,delivery_method,ticket_type,name_type,raw_description,first_observed_at,last_observed_at,sold_at,details_fetched,year_month
sold_key-to-lit-arena-tour-2026-neo-classics_1780153496485_22000,1780153496485,key-to-lit-arena-tour-2026-neo-classics,2026-10-04,12:30,マリンメッセ福岡 A館,sold,22000,1,重複なし同行,electronic,female,"該当名義同行/すり替えなし/有効期限内/下3桁提示可/猪狩担不可

当日開場20分前に集合場所にお集まりいただき、同時入場いたします。チケットを回収後、2連中の...",2026-05-30 15:04:56,2026-08-27 07:17:28,2026-08-27 07:17:28,False,2026-05
sold_key-to-lit-arena-tour-2026-neo-classics_1780048799314_15000,1780048799314,key-to-lit-arena-tour-2026-neo-classics,2026-10-04,12:30,マリンメッセ福岡 A館,sold,15000,2,当日手渡し,paper,none,"【取引にあたり注意事項】
ランダム配布について理解ある方のみ購入お願いします。
入場時、端末をお借りしてQRを表示させていただく場合がございます。その際、持ち逃...",2026-05-29 09:59:59,2026-08-27 07:17:28,2026-08-27 07:17:28,False,2026-05
o0a6c1kr5z,1780027249461,key-to-lit-arena-tour-2026-neo-classics,2026-10-04,12:30,マリンメッセ福岡 A館,listing,0,1,同行,electronic,female,最高4.0 初期当選/重複なし同行/すり替えなし/本確対応可/同行者登録可/金額、担当明記の上ご連絡ください。,2026-05-29 04:00:49,2026-08-27 07:17:28,,False,2026-05
sold_key-to-lit-arena-tour-2026-neo-classics_1780142749604_19000,1780142749604,key-to-lit-arena-tour-2026-neo-classics,2026-10-04,12:30,マリンメッセ福岡 A館,sold,19000,1,同行,electronic,female,"FC先行 ／初期当選／該当名義／同行者登録可／下3桁提示可能

当方と同行になります。
当方、中村担ですので同担拒否の方はご遠慮下さい。

※当日は開場10～3...",2026-05-30 12:05:49,2026-08-27 07:17:28,2026-08-27 07:17:28,False,2026-05
sold_key-to-lit-arena-tour-2026-neo-classics_1780073567518_8273,1780073567518,key-to-lit-arena-tour-2026-neo-classics,2026-10-04,12:30,マリンメッセ福岡 A館,sold,8273,2,同行,electronic,female,"座席未定 ランダム配布 条件あり 座席選択不可 代理購入不可 

 ランダム配布になりますので最後までご理解いただきご購入ください。  

・複数名義所持してお...",2026-05-29 16:52:47,2026-08-27 07:17:28,2026-08-27 07:17:28,False,2026-05
sold_key-to-lit-arena-tour-2026-neo-classics_1780149923464_20000,1780149923464,key-to-lit-arena-tour-2026-neo-classics,2026-10-04,12:30,マリンメッセ福岡 A館,sold,20000,1,同行,electronic,female,"FC初期当選/すり替えなし/有効期限内/非該当名義/着ブロ希望なし/下3桁提示可/同行者登録可/サイチェン可

・公演中止の場合のみ手数料を引いた金額を返金いた...",2026-05-30 14:05:23,2026-08-27 07:17:28,2026-08-27 07:17:28,False,2026-05
sold_key-to-lit-arena-tour-2026-neo-classics_1780030403814_20000,1780030403814,key-to-lit-arena-tour-2026-neo-classics,2026-10-04,12:30,マリンメッセ福岡 A館,sold,20000,2,公演前日にQRコード共有,electronic,female,"QR毎/初期当選/非該当/有効期限内名義/下3桁提示可/重複すり替えなし/郵送物戻りなし/着ブロなし

公演前日にQRコード表示に必要な情報をお伝えいたします。...",2026-05-29 04:53:23,2026-08-27 07:17:28,2026-08-27 07:17:28,False,2026-05
sold_key-to-lit-arena-tour-2026-neo-classics_1780062335122_8500,1780062335122,key-to-lit-arena-tour-2026-neo-classics,2026-10-04,17:30,マリンメッセ福岡 A館,sold,8500,1,ランダム配布,electronic,female,"ランダム配布となります。連番でご購入いただいた場合には必ず連番でお渡しいたします。

全名義エラー履歴なし、同一クレカコンビニ払いなし

・公演当日、開場30分...",2026-05-29 13:45:35,2026-08-27 07:17:28,2026-08-27 07:17:28,False,2026-05
sold_key-to-lit-arena-tour-2026-neo-classics_1780151619276_16000,1780151619276,key-to-lit-arena-tour-2026-neo-classics,2026-10-04,17:30,マリンメッセ福岡 A館,sold,16000,1,当日でわし,electronic,female,"当方との連番となります。
中村担不可

有効期限内/非該当名義/変更ボタンあり/すり替えなし同行

友人名義のため本人確認不可。
公演中止以外の理由での払い戻し...",2026-05-30 14:33:39,2026-08-27 07:17:28,2026-08-27 07:17:28,False,2026-05
sold_key-to-lit-arena-tour-2026-neo-classics_1780031077335_10000,1780031077335,key-to-lit-arena-tour-2026-neo-classics,2026-10-04,17:30,マリンメッセ福岡 A館,sold,10000,2,同時入場,electronic,female,"ランダム配布となります。連番でご購入いただいた場合には必ず連番でお渡しいたします。

・公演当日、開場30分前を目安に会場付近で待ち合わせをし、同時入場していた...",2026-05-29 05:04:37,2026-08-27 07:17:28,2026-08-27 07:17:28,False,2026-05
