ticket_id,created_at_unix,event_id,perf_date,perf_time,venue,ticket_type,name_type,delivery_method,seller_name,seller_rating,order_num,ticket_tags,first_observed_at,last_observed_at,sold_at,sold_at_source,status,quantity,price,raw_description,details_fetched,year_month
sold_milesixtones-2026__14000,,milesixtones-2026,2026-09-19,17:30,味の素スタジアム,electronic,none,同行,,,,,2026-09-04 19:01:10,2026-09-04 19:01:10,,historical_unknown,sold,2,14000,"5名義中4番手でのお譲りです。

公演当日会場付近にて待ち合わせをし同時に入場して頂きます。

入場後チケットをお渡しするまでに座席確認のお時間を頂きますのでご...",False,2026-09
sold_milesixtones-2026__8900,,milesixtones-2026,2026-09-19,17:30,味の素スタジアム,electronic,female,連絡ボード,,,,,2026-09-04 19:01:10,2026-09-04 19:01:10,,historical_unknown,sold,1,8900,"【座席未定】
チケットを複数所持しております。同時入場後にチケットを一旦回収し、開演5~10分前を目処に再集合の上チケットをお渡しさせていただきます。
座席につ...",False,2026-09
sold_milesixtones-2026__16500,,milesixtones-2026,2026-09-19,17:30,味の素スタジアム,electronic,female,同時入場,,,,,2026-09-04 19:01:10,2026-09-04 19:01:10,,historical_unknown,sold,2,16500,"5名義中5番手/すり替えなし/下3桁提示可能/有効期限内名義

ご購入前に必ず最後までご一読ください。
ご不明な点やご質問は、お取引確定前にお願いいたします。...",False,2026-09
sold_milesixtones-2026__5600,,milesixtones-2026,2026-09-19,17:30,味の素スタジアム,electronic,female,同行,,,,,2026-09-04 19:01:10,2026-09-04 19:01:10,,historical_unknown,sold,2,5600,"座席未定/初期当選/有効期限内/該当名義(変ボ有)/ランダム配布

当日、開場30〜40分前に会場周辺の指定の場所に集合していただきます。集合場所は後日連絡ボー...",False,2026-09
sold_milesixtones-2026__62048,,milesixtones-2026,2026-09-19,17:30,味の素スタジアム,electronic,female,公演前日にログイン情報を提示,,,,,2026-09-04 19:01:10,2026-09-04 19:01:10,,historical_unknown,sold,1,62048,"専用出品になります。
公演中止の場合は定価手数料を差し引いた金額返金可能です。公演中止以外（ランダムエラーや本人確認などの入場トラブル等）は返金不可とさせていた...",False,2026-09
sold_milesixtones-2026__41500,,milesixtones-2026,2026-09-19,17:30,味の素スタジアム,electronic,female,QR毎,,,,,2026-09-04 19:01:10,2026-09-04 19:01:10,,historical_unknown,sold,2,41500,"QR毎/初期当選/⭐️アリツ落選名義/重複すり替えなし/着ブロ希望なし/下3桁提示可/有効期限内/発送物戻りなし

⭐️定価+手数料先払い🉑優先
公演前日まで...",False,2026-09
sold_milesixtones-2026__9000,,milesixtones-2026,2026-09-19,17:30,味の素スタジアム,electronic,female,連絡ボードにて,,,,,2026-09-04 19:01:10,2026-09-04 19:01:10,,historical_unknown,sold,1,9000,"【座席未定】
チケットを複数所持しております。同時入場後にチケットを一旦回収し、開演5~10分前を目処に再集合の上チケットをお渡しさせていただきます。
座席につ...",False,2026-09
sold_milesixtones-2026__9800,,milesixtones-2026,2026-09-19,17:30,味の素スタジアム,electronic,female,連絡ボードにて,,,,,2026-09-04 19:01:10,2026-09-04 19:01:10,,historical_unknown,sold,1,9800,"【座席未定】
チケットを複数所持しております。同時入場後にチケットを一旦回収し、開演5~10分前を目処に再集合の上チケットをお渡しさせていただきます。上乗せにて...",False,2026-09
sold_milesixtones-2026__31500,,milesixtones-2026,2026-09-19,17:30,味の素スタジアム,electronic,male,連絡ボードにて,,,,,2026-09-04 19:01:10,2026-09-04 19:01:10,,historical_unknown,sold,2,31500,"復活当選/初当選名義/有効期限内/郵便物戻りなし/着席ブロック指定なし/下3桁提示可

公演前日までログイン情報お伝え致しますので入場後即時にログアウトお願い致...",False,2026-09
sold_milesixtones-2026__11500,,milesixtones-2026,2026-09-19,17:30,味の素スタジアム,electronic,female,同行,,,,,2026-09-04 19:01:10,2026-09-04 19:01:10,,historical_unknown,sold,2,11500,"初心者の方でも大丈夫です。
丁寧に対応します。
2連購入の場合は必ず2連お隣でお渡し。
複数名義所持のためランダム配布となります。
公演当日、会場付近で待ち合わ...",False,2026-09
